"DOJ files are available for everyone, and easy to find things, so what&#39;s new?"
Lets see how many of epstein clients are with diddy
"American people do not realized that the DOJ, legal system all protecting the bad people who are leading this country. How can you rely on them to expose themselves? But most American are parallezed after years of brainwash. They forgot they are the true owners of this country. They can do something about it to save their future generations living in a peaceful, safe and prosper coutry. This lady earn my respect. She is doing her share as a citizen."
Reduction can also save a case things blow up like I don&#39;t know Ellen eating the babies well if everyone knows this how are they to select a jury if it ever goes to trail. How is she to get a fair trail? See what I mean.. its not if they&#39;re hiding evidence its why..
Yes.  Yes.  Yes<br> Trump&#39;s finding distractions .... so glad you covered zms. Leonard!!!🎉
This is the history of that country
"Excellent work, Ellie and volunteers!"
アメリカの恥だから、見にくくはするでしょうね・・・
Good job ellie
1% of the documents is approximately nearly 9 million pages. My god what a jolly world I live in
"After watching this show, I went to the BBC  coverage and was not surprised to see how it’s full report of 7 Feb avoided mentioning Israel; focusing on the personal tragedy of the survivors and the political implications in the US and UK. Even when mentioning the global impact no specific mention of Israel. I did stop watching at 13 min - could not  😢"
":50 - More documents? Frankly, unless this tranche  contains photos and/or videos, I&#39;m not interested. I think nobody really wants ALL to be exposed -- not Dems (they look saintly  compared to DJT) or Reps (their peccadilloes look innocent compared to DJT) and not even so many pod&#39;sters who have become successful on Epstein&#39;s zip fly."
he is fully involved the fact he still president shows you to never have trust in the goverment if you dig deep they were flagging this up way before and everyone ignored jeffery epstein was a Mossad agent that was basically making connections to blackmail the American goverment to control foreign policy especially in israel  . i would not suprise me if epstein is not dead
Great interview!! Ellie you’re the best or how we used to say…you’re Da Bomb!😂thank you❤️
Epstein files the Mossad work!! Every one is connected to Israel… they the Kompromat tactics to have leverages on every powerful man.. !! You don’t to be smart to understand what Israel did to get the green light .
Much Respect. Keep up the good work!
"The Mossad is believed to use leverage over powerful individuals to maintain influence and protection for Israel. By involving influential leaders, royals, and billionaires in compromising situations and obtaining incriminating material, they can ensure compliance and control. This tactic, known as kompromat, is thought to explain the connections seen in cases like the Epstein files, with figures such as the Maxwells allegedly working for the Mossad. This why Israel is protected by those powerful people because they got something on them!!!"
What should be done with Doodley Trump?<br>Bring him to justice?
"In her statement, doctors and attorney and computer analyst have enough time to dig through files and find evidence for her. Is this something Al Jazeera believe in the interview. Doctors are like general labors and they all this spare time to do for nothing. blah blah blah....."
Why is no-one being prosecuted over the Epstein files?
Wow a fiction story writer?  Reliable source? How much did she manipulate the story? Al Jazeera propaganda as usual.
So crazy how Americans let this one country and their intel agency use their daughters and sisters for such terrible stuff. No honor left. No shame.
Israeli Detective Branch has involved with Jeffrey Epstein.
"YES!!🙌✊. GOOD PEOPLE HELPING OTHER GOOD PEOPLE, AGAINST HORRIBLE, DISGUSTING, EVIL PEOPLE!!! 🎯💯🇺🇸✊💪"
🎯💯💙💙
That&#39;s only half of the files. Release all files and prosecute every single person involved.
The 3 million filea are just 1% ?
"Thank god for Islam. You have protected me all my life, but I never realized it."
they are trying to oversnow the case by editing
"Spy for foreign government,used underage to blackmail powerful people. They trained him funded him from nothing to millionaire"
The big America who is nr1 in everything can’t even bring truth out.. of course Trump is in power because they can cover Epstein files and protect those rich monsters.
She is awesome
There must have been boys as well. Some of the Epstein buddies aren&#39;t into women or girls.
"Considering the extent of the redactions by “Trump’s Justice Department” and the inexplainable delays, I wonder has anyone questioned this as a potential “conflict of interest” justifying an independent review from an “unrelated” third party elected by the people?  I’m sure the redactions would then present a valid unquestionable view of the situation to the public. At the end of the day this information remains available to a select few and under the circumstances it’s likely to be used as it was before… blackmail, political leverage, extortion etc…"
"Investigate Epstein&#39;s connection with Saudi Arabia,  the same country pouring MILLIONS into Trump&#39;s crpto."
😂😂😂😂
The Republicans are protecting their pervert dictator 🤬🤬
Didn’t use AI — at all?
Andrew has long been thrown under the bus - there are may other prominent names hiding behind this smokescreen
Man does Coffezila do this better....
The girl is lifting her chair by saying she has friends.. people who are professional etc etc that are good at analyzing<br>when you can just dump the whole data into a Dataset so you can ask AI bot about anything regarding the data and ask it to provide source link to that particular answer to the question it provided to check it.
😂
Fake news
"@KevinPeterTobiason<br><br>If we care so much about the Epstein files why do we not care about the Roman Catholic files? The only difference between the Jeffrey Epstein Empire. And the Roman Catholic Empire. Is that the Jeffrey Epstein Empire has thousands of victims. While the Roman Catholic Empire has millions of victims. Certainly if we extrapolate from the French datum (23O,OOO) to the at least 8 other Roman Catholic dominant countries. Just since 195O. Unless the French are just extremely pederastic? Jews are not the only folks who like to rape children. Hardly the only conspiracy. What about Pope Leo XIV covering up of child rape here in the USA before he was Pope? Or Pope Francis for that matter when he was only an Archbishop in Brazil? Why are we being so selective? Or do we only care about Jewish child rape rather than Christian child rape? And is our obsession with the Epstein files related to anti-semitism?💙"
western civilization
Heroic people like THIS will save our nation.
Pedophiles are running the world!
I hope she has security 😱 <br>And I’m just saying - she doesn’t look suicidal
Can&#39;t wait to hear what the find in this 3 million!
"Talk about Genaro Luna and his bosses, Obama and Hillary."
Release ALL and why were they classified?
God Bless Eliie Leonard for this incredible work and courage.
Just release the files it&#39;s not rocket science 😒
Please research the Sascha Riley story…
"Aie aie aie,,do you think they will believe that??I think its true,,its ust normal people have no idea how evil they are."
"Ellie is your average, everyday genius! Love her work. Good interview. I&#39;d like to see you interview Lev Parnas and the rest of the gang too!"
SPOT ON!  Now... Don Lemon..   and BIG media takes the bait
Bring out the Epstein files put hin behind bars
"Today&#39;s Epstein files release by the Justice Department includes nearly 3.5 million pages, 2,000 videos and 180,000 images."
They&#39;re redacted anyway.<br>What&#39;s the point?<br>😞
Fascinating!
"The Files were available for release all through the previous administration, so, why is it a big deal for people now?  <a href=""UCkszU2WH9gy1mb0dV-11UJg/8P50XuS9Oo7h8wSqtIagBA""></a>"
The Biden administration released some documents in January 2024. <br>There was some appeal case that May. <br>Biden should have done more.<br>Why is MAGA angry at releasing them NOW?!<br>💀💀💀
@lindarooney3833 Everyone should be mad they haven&#39;t been released.
​@binoched9302<br>Then why aren&#39;t you?<br>🤨
"Of course ,it is so obvious.<br>He is doing everything he can to avoid, postpone that issue.<br>Venezuela,Groenland&#39;&#39;,Gaza,Iran,Ice,<br>driving the Americans to a civil war..."
This is all so sickening to listen to.<br>Our white House is full of criminals.
"This gives me back hope in the American people! Politicians, on both sides, are just pompous talkers!"
The facts are the facts.<br>Good work.<br>Keep it up.<br>Ty
I guess when you own the Justice Dept. You cant do anything wrong!
do not give any names - what’s up with this interviewer? he seems dangerous
"THEY think we&#39;re too dumb to figure it all out.  Given enough time, TRUTH reveals itself!"
"95% of the media I consume now is from independent journalists.  Jim Acosta getting fired was the best thing that ever happened to him.  And there are many other quality independent outlets and substacks.  After Ellie Leonard exposed Michael Cohen&#39;s duplicity and lies, Cohen was fire from the Meidas Touch network.  A top independent outlet I watch daily.  They were duped along with a lot of other folks."
Y&#39;all need to cover more of the case and what&#39;s inside the files
He leads his pack into the dark and now they have unveiled themselves only to find out how misled they fell...
EPSTEIN  ♥♥♥
Did anyone thing Michael Cohen didnt know ?
"WHO KILLED EPSTIEN 🤔 THAT&#39;S NOT TALKED ABOUT! HE DIDN&#39;T COMMIT SUICID*E LAST TIME HE WAS IN JAIL, FACING THE SAME THING! THAT&#39;S WHERE I WOULD START! YOU GET THAT GUY, YOU HAVE THE KEY TO UNLOCKING EVERYTHING. UNFORTUNATELY, WITH THIS DOJ WE WILL NEVER KNOW."
TY
Thank you Ellie Leonard! Don’t give up! This needs to come out! E need to know everything! This cannot continue to be covered up! Be safe and keep up the good work! 💜🙏🏻
Trump is petrified about the Epstein files.  He&#39;s scared to death.
Epstein files out now ‼️
I just hope she&#39;s getting the correct information and help from good people.. not the ones who will do anything to keep people distracted from the real STORY.
We need to keep this case alive and not let the blue and white country and Trump cover this up.  They will do anything to cover up the truth.
Buddy that&#39;s like saying all journalists are good investigators because that&#39;s definitely not true - are you qualified to be doing this interview? what proof do you have because I&#39;ve never heard of you before! 🇨🇦
This is exactly what is happening- Canadians have been saying this all along
"Follow the money 💰 In the Trumpstein files,money was being made,so Trump probably had his grubby little hands on it 😮Maranatha 😂❤"
listen to Whittney Webbs interview with Peter McCormick its 3 hours youll know more than anyone about this she hides nothing she found and is completely impartial she brings verified accounts and facts
"Ellie, you are a hero for uncovering the EF."
"Gosh, you think? Distract!"
Our orange king is insane.  HELP 😢😢😢
TikTok is now owned by the pedostein clan and they have started deleting Epstein and Gaza accounts…so basically no regard for human rights and the 1st Amendment. What a joke 😢
Where are the EPSTEIN FILES.... RELEASE THE UNREDACTED EPSTEIN FILES NOW B4 THE DOJ BURNS EVERYTHING 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
Yep
We need a deep dive on Sasha Riley’s father
Yes he must have been paid by Epstein
Release the files !
Weird that the IDF took control of Twitter and is now forbidding any talk of Epstein.
"Actually, not weird......... but predictable.  They have the most to lose."
"No it&#39;s probably Musk himself, he&#39;s also Epstein client"
Nobody has considered that there may be Trump Files. Do you think he doesn&#39;t have stuff on people put away somewhere?
Great job 👏🏼👏🏼👏🏼 RELEASE THE FILES!
"The U. S. Government picks their victims using school photos. The school  photographers, the teachers, they all know which children are being picked off by the Epstein machine. The kids are completely surrounded by dangerous people who want to hurt the child. Almost always, there is no escape for these kids. Even the older kids in the neighborhood forced me to play strip poker when I was only 9 years old. I did even understand why. Assaulting the children when they are young is very confusing to child...later on the child as s/he grows up they become easy targets for government manipulation."
"It would help if there was a some item or conclusion discovered in this tremendous undertaking that shed new light on the guilt or innocence of the people involved without having to buy a secret decoder ring. Great summary on your well coordinated process but no new beef, so I guess that have to go to your substack to find out more.  It just keeps getting more intriguing so please keep up with your efforts. We have to find justice for these victims. If the conspiracies are true then this includes all of us."
Thank you for keeping a focus on this matter. Trump’s distractions away from this topic seem to be working with much of the media.
"Distract,  delay and deceive are the names of the game that dementia don plays"
RELEASE THE TRUMPSTEIN FILES <br>MAKE AMERICA 🇺🇸 NORMAL AGAIN 🇺🇸<br>THE TRUTH WILL SET YOU FREE
release all the epstein files. we have to find out. who is not in the files.
He was connecred to more than s crimes!
"This proves that the US population does not have any power. There is already list of elites of US available and you, your court and government don&#39;t want to do any thing about it. Your democracy is a cover to hide their crimes."
When can we officially start calling them the TRUMP FILES???
Jehovah&#39;s Witnesses hit with hundred-million-dollar lawsuit over child sexual abuse.
"Not surprising, they do their own &quot;investigations&quot; where they challenge the accuser in front of the accused, they quietly shuffle suspected molesters to other congregations, they don&#39;t pass on allegations to authorities."
"They questioned him about the repeated abuse starting when she was just 12 but never disclosed to law enforcement.&quot; - rape cover-ups by Jehovah&#39;s Witnesses - Post-Gazette July 6, 2025"
Trump could care less bout being connected to a perp as you guys see about a million of them...its something else im saying...
Epstein will return in Avengers Doomsday
financial scheme
So they get a person that resembles him to talk
"these file are never coming out. at most, someone will take the fall to save everyone in it.<br>also, lets talk about the jonbenet ramsey with epstein photos."
"Please  look into the Sascha Riley interviews.  He sounds very credible and tells it all. Trump, Andy Biggs, Jim Jordan and others."
She has go to her Substack.
Es bien sabido que Trump está inventandose guerras y amenazas solo para DISTRAER LA ATENCIóN de los archivos Epstein porque no quiere que se revelen las fotos donde está abusando de niñas.
"I had to pinch myself to see if I was dreaming or awake when I saw Ellie here. Thank you for giving independent, hardworking, and idealistic journalists airtime!"
No shade but its called community notes...not her invention. But great work
I&#39;m so glad there are independant freelancers investigating the Epstein<br>story.<br>Those who should be and are paid to do these investigations are seriously letting the public down.
They just dont care I spoken to every agency out here for the last few decades. Insane inside these gov agencies. Trump was not even prez then.
Go after the judges
I wish we had a few in our stuff who shoulda been canned. See my hometown made the media. What these men put in place tbw. No justice for us at all.
Why is trump not being held in contempt?
The Epstein files must be juicer than we can ever imagine.
RELEASE THE FILES
Ellie was asking the public in another video to please look through the files and alert her or Lev Parnas of anything suspicious or publicly unknown info. <br>It&#39;s so much info they&#39;re asking for our help to save democracy.
"Look at media I outed a clan , media ignores me child survior asks them what it was like playing golf with him. No attn to guy they asked. They were bullying me entire time."
this is being censored!!!!
It is but other ppl are not. Dont say r-pe. Who dictated that oh some annoying mafia.
PEDOPHILES PROTECTING PEDOPHILES!!😭😱😈👺👺
GO ELLIE!!! She is the best!!😍😍😍😍
"LOVE Ellie Leonard<a href=""UCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AE""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AE""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AE""></a>"
Whitney Webb wrote 2 books on this.
They weren&#39;t very good though. I recommend Julie Browns instead.
Brilliant they tried to Flood The Zone...but did not succeed!
Epstein is the reason behind all these news about armada in the middle east?
Jaffery Epstein files is reason to kiddnap  Maduro ?
Just ask ai …
Even an artist found money laundering through art in the files.
"yes huge money scheme behind it all so they bogarted the table. We are just an annoyance as females. Calif a million xs said the scheme in parts...these men bring money to our state. Culture is , is to serve us females to make these swine happy. So they are in gov used gov to do legal targets on us made us homeless try to justify it for god... manip dumb christians to do it but the joke is on us all. So evil let me tell you still is its concerning. I started battling them in 2001! The public was way down with adults on kids then. Ppl need to stop lying I spoke out ONLINE.  I had nowhere to go all kept me secluded in their universe I did not know regular ppl out here that could relate. They got me thro the us mail. Diff person in this. That guy pulled a JE not here but his boss is connected to both trump an branson."
Not a theory yet - Is now a hypothesis
The wisdom of the crowd
We know what Trump has been doing to kids with Epstein for 30 years. The evidence is overwhelming. Trumps trying everything to distract us from it.
What evidence? Only speculation
"⁠13 year old Katie Johnson, 12 year old William Sascha Riley, Sarah Ransome, two 13 year old kids in the Epstein files, Trumps Limo driver. <br>All documented telling the FBI that Trump grapes kids."
@Ivan_Oooze maybe true but not conclusive unless charged
⁠Trump is currently in charge of the DoJ. He can’t be charged until he leaves office. All those independent accusers can’t be lying. None are currently suing Trump.
@Ivan_Oooze I suspect most have be paid hush money and signed non disclosure agreements
I have more skeletons to hide in the cupboard !
"This evidence is likely relevant in a sense that distinguishes a &quot;person&quot; from a number of persons in &quot;people.&quot;  That is not a mass in political theory.   The ton of evidence you have should be applied to some issue of title lurking in the lurid details.  You must understand that Epstein&#39;s financial accounts reveal only one thread in a larger puzzle of the number of people; consider what status quo must follow.<br><br>The FBI, on the other hand, is specifically charged with investigating Epstein&#39;s effects with Donald Trump between Obama and Trump administrations, which presents an historical record you are aware of. Another key to sorting that ton into pages would be to let the banking run its course while the FBI is compromised between truth and fiction through the Attorney General.  Is it his Attorney General?  Was it ever? <br><br>Ant drama which sustains the media&#39;s interest long enough to convert those accounts in politics, the banking system&#39;s ton represents commerce in civil society.  That is also out of control.  A larger problem dissolve the local, global, and national bases for exchange also determine the possibilities for communication. So the key also relies on a client/server exchange to justify the network&#39;s logic before any truth can correspond with some facts."
"440  This is an interesting fact as she specifically relates the supposed cause of the friendship ending over her being &quot;poached&quot; by Epstein from Trump&#39;s sauna, where she was working.  That is an important &quot;predicate&quot; as it happens at the same time that a mansion exchanged hands in Palm Beach.  You probably know more about those specifics than me, but you should be aware how those accounts compare with the &quot;survivor&#39;s&quot; interests in this case, not as a matter of prejudice but of equity.  Again, I don&#39;t know these facts but, for example: the degree that the suicide&#39;s estate has come to light is not all that simple, and we&#39;ve seen in that spotlight how Murdoch&#39;s control over these media meets Ghislane&#39;s father in some ugly, very well known dirt outside the US--the part that links Pirnce Andrew to Virginia. Get rid of that distraction. If your ton is about the survivors, try to focus on the server/client relations there--before AI takes control over  your cables.  Put the real estate about the mansion together with the change in  Virginia&#39;s job from Sauna to reception,  and you might have something there Alex Acosta didn&#39;t want to know about with Rudy Giluliani.  That&#39;s very interesting to the World Court, I imagine"
"<a href=""https://www.youtube.com/watch?v=Zo-Bb16U-Ro&amp;t=360"">6:00</a>  So that&#39;s Obstruction of Justice, which is Volume II of the report his Administration lied about in 2019 before he tried to start a Civil War on January 6.  In case of survivors, the damage is done before the fire starts that Trump wants to light in Rome.   The difficulty only makes the crime more explicit, not the proof more difficult, so the time should be ripe for you to process your data center into their intelligent reasoning.  We know he obstructs justice.  We&#39;d like to return to United States History according to the Congressional Record before he met thes girls.  Sounds like you&#39;ve been working on it.  Keep up the good work.  You shouldn&#39;t need chips from Taiwan to seek deeper than the Bytes by their dance."
Fbi was a problem in this as well. Had several lawsuits from women while targeted victims promoted by christians. Doubled mouths here told me to go locally. Without a sit down why did they say that so abruptly tbw? Leads us to a gutter. Explain.
In the nygard case with many of the same ppl the billionaire bacon was already suggesting corruption an protection from fbi on these guys. Im finding that to be true. Going at the same stuff really.
"Just when I thought this administration couldn&#39;t be more sabotaging... Well done to Ellie Leonard and everyone involved, THANK YOU 👏🏼👏🏼👏🏼"
Whittney Webb is way more thorough listen to her 3 hr interview with Peter McCormick if you actually care and have the attention span <br><br>if you want truth its with her she doesnt just target Trump but all of the coconspirators
Only reason for all the chaos around the world is just a file . How unrealistic
Yup and all his global connections. Including to a certain rogue nuclear ethnostate.
Do you know anything about narcissism? Doesn&#39;t sound like it.
"So Trump deliberately kidnapped Maduro, and threatened to invade Greenland just because he doesn&#39;t want to publish the Epstein files?"
He/they are the masters of flooding the zone
@AR_BY_1208 greenland was also stock manipulation on behalf of Japan money makers and Forbes.
Dump is a weapon of mass distraction.  He and the blue and white country have a lot to hide.  A LOT!!!!
@lynnekeller6038 That&#39;s right!  No one is talking about what&#39;s happening with the Japanese money markets.   Trump needs to distract.  the blue and white country needs to distract.  There&#39;s a lot to cover up that both of them would destroy by.
"YES,it&#39;s so obvious"
New age of forensic science awesome. Keep up the great work
Will Epstein&#39;s best friend go to war at home and abroad to keep the files hidden?
Yesssssss...100% correct
Please cover sascha Riley.. this guy is telling the truth but nobody is covering this.
So true but that is because Trump would go Bananas and sue and many dont want the legal cost for just doing their job and telling the truth. <br><br>That is why it is up us to spread the word and make it clear we dont need the propaganda mainstream to be informed as long as we all work together we can find out anything
"I believe Saschas story. I saw  a compelling video where an internet sleuth looked into Saschas claims. Locations, names etc. It was verifiable &amp; opened up more creepy questions. 😢"
"If Al Jazeera is owned by Qatar /funded by the Qatari government, the same ones who bought Donald Trump a $400 million airplane, I am curious why they would do this story. Doesn&#39;t the airplane &quot;gift&quot; mean that you&#39;re a Trump fan who would protect him or want to protect him from what&#39;s in the Epstein files?"
"A lot of the media &amp; governments is helping on the cover up from any country. Especially anyone from Saudi Arabia, Russia, Israel, UK, &amp; USA who mostly had most affiliations with Epstein. Quite ironic you never seem to be against Israel who also are involved in many cover ups including the Esptein files."
"@RagingFlamesRedGuyAttitude Oh I&#39;m not &quot;against&quot; Quatar, per se, I was just curious as to why they would ive Trump a plane and do this story."
"​@TraceCreates-MusicCBS fired colbert from his own show for Trump, I don&#39;t see a warning on their channel"
Really interesting. Thank you for covering this. I hope people see this video and the good work Ellie &amp; her team are doing.
A trusted news source.
"Fact checking the info is enough for me. Fact checking &#39;people&#39; is generally used as a means to discredit their factual info, not to validate it."
trump into prison right now!
Pedophiles don&#39;t do well in prison.
"Instead of MAGA hats, everyone who has been overtly DEMANING EPSTEIN FILES should just wear T-shirts that say, &quot;throw fresh kill at me, I&#39;m with the media.&quot;"
Hello 🤗 Hihi 😇👍 The Trump Administration doesn&#39;t have the the files... The victims and the hostages have the files.  And everytime you demand more files on &quot;your&quot; deadline you are re-traumatizing the victims ~
Sure buddy 🥴🫠
No. There is evidence in government possession. Stop it.
The victims say they want the files released and the criminals prosecuted.
"Obviously is making distractions, he is trying to win time to hide whatever he thinks he could out him behind bars , let’s be honest what will be other solution ? It’s so easy to see that is everything made up , including the attack he suffer , everything is fake wake up America ."
"There&#39;s a BIG PROBLEM right there when paralegals, lawyers, doctors, and psychoanalysts are contributing helpers...."
Ty Ellie!
"<b>*WARNING*</b> Until the Epstein files are released, keep Donald J. Trump away from little kids. <b>*WARNING*</b><br><br>The only things safe in America is the Epstein files!<br><br>Fox🚮EWs assist in the coverup is <b>*MASSIVE!!!*</b>"
The CIA has a long history of making disguises and face masks faking an Epswine death is childs play for them
You could be right but there is no concrete evidence
@pork-techpty3078 What is concrete he didn&#39;t care an had his kids around multi child predz and took suggestive pics that would lure those men tbw anyways knowingly or not. Ppl are most uneducated on this topic. The creation of them and what they do.
@msitalianatheist without evidence there is nothing
@pork-techpty3078 Were you up in here with these men? I was as a kid. Financials.
The ONLY thing safe in America is the Epstein files!!!
😅😅😅😅😅😅😅
Muy cierto !!
Heidi klum
NOT for long the Republican MAGA verse is going to destroy the party as the trump rumps war and lie till they die.
"Qatar is mentioned More than 1500 times and Qatar ruling royal family by names has been mentioned more than 250 times..<br>Crazy fact : Isreal, Qatar and Turkey are involved directly in child trafficking and killing..<br>Turkey is used as hub to keep young trafficked girls and Qatar royal family were ones who involved in abusing those young ones..."
Go Ellie! Expose them!
Ellie has done an amazing job! Her team is doing an amazing job.
Release the files
No redacted files!
Release  the sewage  and its critters ! Why hide and cover the stench?
"People say we elected him, when there&#39;s colleges that have votes that outweigh ours by ALOT. America didnt want a woman president, especially not a woman of color. He promised them ridiculous bullshit and they ate it all up. <br>Now look at us now."
Unfortunately... many Americans are so ill informed! Nor do they seem to care to be informed! NOT all... lets get that straight :)
Iz&#39;s very very sad instaedof a very very clever woman you prefered a criminal corrupt criminal monster
​@ElkeBressan-bg2qg that&#39;s the racism and oligarchy of the corrupt America we unfortunately live in. We Have to stand up or be stomped down.
@SeychellesAyel12 Kamala &amp; Walz would have been just as bad albeit in different ways
"Blackmail on Trump, congress, business CEOs, political figures all needs to be exposed!"
And the rest of the world suffer from it
"@medlk7779NO! No, we wouldn’t because we already are! RELEASE THE PHILES AND GET EVERY ONE OF THEM OUT!!!! 🎉"
@medlk7779keep defending those pedos
"​@fridajunkieyou misunderstood me I ,m not defand any one , the comment say that UsA official are being blackmail, and I said the rest of the world suffer from it because they will be infecting all the global not only USA , as you see happening now ."
